state,historic_acres_burned,historic_acres_state,historical_ annual_percent_burned
Alabama,4579817.061,33110141.86,13.83206716
Arizona,1361935.225,72790528.03,1.871033584
Arkansas,5070515.542,33861113.83,14.97444995
California,3926334.03,100997019.5,3.887574157
Colorado,2099961.247,66644644.68,3.150982734
Connecticut,162812.524,3166180.013,5.142238387
Delaware,118405.446,1294831.485,9.144467627
District of Columbia,7010.014764,42124.18703,16.64130576
Florida,8780260.177,36097543.61,24.32370544
Georgia,6712007.945,37541954.97,17.8786852
Idaho,976323.2664,53335285.71,1.830539114
Illinois,6174939.014,36021546.07,17.14234864
Indiana,1720504.388,23289242.11,7.387549926
Iowa,5406922.818,36008125.23,15.01584096
Kansas,10357246.99,52604484.03,19.6889052
Kentucky,3278876.693,25810554.58,12.70362744
Louisiana,3700435.843,29484779.92,12.55032547
Maine,84018.06248,20703053.39,0.405824498
Maryland,868088.3451,6330821.501,13.71209637
Massachusetts,245353.5883,5208675.787,4.710479176
Michigan,1272086.685,37249905.62,3.415006465
Minnesota,4837030.606,54071620.33,8.945599516
Mississippi,2884057.129,30486845.95,9.460004928
Missouri,7231215.113,44698682.7,16.17769177
Montana,4574428.69,94219207.3,4.855091463
Nebraska,7512722.583,49491229.24,15.17990702
Nevada,504671.3623,70799620.22,0.712816482
New Hampshire,96683.2264,5930231.628,1.630344858
New Jersey,562946.2416,4875893.108,11.54550006
New Mexico,3173741.308,77910015.62,4.073598603
New York,518849.1431,31127409.05,1.666856185
North Carolina,4269815.044,31570564.12,13.52467136
North Dakota,4804668.992,45318140.12,10.60208777
Ohio,1794310.198,26381445.93,6.801409608
Oklahoma,10924463.31,44802897.87,24.38338551
Oregon,1787484.722,62076727.48,2.879476406
Pennsylvania,2571093.722,29017036.92,8.860634976
Rhode Island,54122.83697,689997.1726,7.843921557
South Carolina,3182404.185,19785150.11,16.08481193
South Dakota,5205738.181,49396423.58,10.53869451
Tennessee,3387586.102,26934491.23,12.57713046
Texas,25678735.17,169232119.8,15.17367696
Utah,661516.8535,54321991.61,1.217769883
Vermont,34383.14042,6141316.479,0.559865959
Virginia,2626948.231,25568338.72,10.27422336
Washington,759371.1772,43181741.82,1.758546888
West Virginia,1281722.269,15500859.51,8.268717407
Wisconsin,2790353.602,35961308.96,7.759321567
Wyoming,1618446.095,62582277.33,2.586109302
