,state,currentTotalAcres,currentAverageAcres,historic_acres_burned,historic_acres_state,historical_ annual_percent_burned,difference
1,Alabama,570510,17288,4579817.061,33110141.86,13.83206716,4562529.061
2,Arizona,6732217,204007,1361935.225,72790528.03,1.871033584,1157928.225
3,Arkansas,993110,30094,5070515.542,33861113.83,14.97444995,5040421.542
4,California,15883836,481328,3926334.03,100997019.5,3.887574157,3445006.03
5,Colorado,1879723,56961,2099961.247,66644644.68,3.150982734,2043000.247
6,Delaware,1228,37,118405.446,1294831.485,9.144467627,118368.446
7,Florida,8887133,269307,8780260.177,36097543.61,24.32370544,8510953.177
8,Georgia,1944988,58939,6712007.945,37541954.97,17.8786852,6653068.945
9,Idaho,16389931,496665,976323.2664,53335285.71,1.830539114,479658.2664
10,Illinois,15079,457,6174939.014,36021546.07,17.14234864,6174482.014
11,Indiana,25765,781,1720504.388,23289242.11,7.387549926,1719723.388
12,Iowa,7060,214,5406922.818,36008125.23,15.01584096,5406708.818
13,Kansas,12603752,381932,10357246.99,52604484.03,19.6889052,9975314.99
14,Kentucky,1084090,32851,3278876.693,25810554.58,12.70362744,3246025.693
15,Louisiana,922707,27961,3700435.843,29484779.92,12.55032547,3672474.843
16,Maine,3434,104,84018.06248,20703053.39,0.405824498,83914.06248
17,Maryland,53373,1617,868088.3451,6330821.501,13.71209637,866471.3451
18,Massachusetts,760,23,245353.5883,5208675.787,4.710479176,245330.5883
19,Michigan,138802,4206,1272086.685,37249905.62,3.415006465,1267880.685
20,Minnesota,1305906,39573,4837030.606,54071620.33,8.945599516,4797457.606
21,Mississippi,920251,27886,2884057.129,30486845.95,9.460004928,2856171.129
22,Missouri,382432,11589,7231215.113,44698682.7,16.17769177,7219626.113
23,Montana,8028755,243296,4574428.69,94219207.3,4.855091463,4331132.69
24,Nebraska,726633,22019,7512722.583,49491229.24,15.17990702,7490703.583
25,Nevada,11312020,342788,504671.3623,70799620.22,0.712816482,161883.3623
26,New Jersey,170054,5153,562946.2416,4875893.108,11.54550006,557793.2416
27,New Mexico,6095083,184699,3173741.308,77910015.62,4.073598603,2989042.308
28,New York,34404,1043,518849.1431,31127409.05,1.666856185,517806.1431
29,North Carolina,697977,21151,4269815.044,31570564.12,13.52467136,4248664.044
30,North Dakota,250244,7583,4804668.992,45318140.12,10.60208777,4797085.992
31,Ohio,4302,130,1794310.198,26381445.93,6.801409608,1794180.198
32,Oklahoma,4787480,145075,10924463.31,44802897.87,24.38338551,10779388.31
33,Oregon,10718611,324806,1787484.722,62076727.48,2.879476406,1462678.722
34,Pennsylvania,20689,627,2571093.722,29017036.92,8.860634976,2570466.722
35,South Carolina,732448,22195,3182404.185,19785150.11,16.08481193,3160209.185
36,South Dakota,1095812,33206,5205738.181,49396423.58,10.53869451,5172532.181
37,Tennessee,311285,9433,3387586.102,26934491.23,12.57713046,3378153.102
38,Texas,8147681,246899,25678735.17,169232119.8,15.17367696,25431836.17
39,Utah,4522258,137038,661516.8535,54321991.61,1.217769883,524478.8535
40,Virginia,264248,8008,2626948.231,25568338.72,10.27422336,2618940.231
41,Washington,5639204,170885,759371.1772,43181741.82,1.758546888,588486.1772
42,West Virginia,971340,29435,1281722.269,15500859.51,8.268717407,1252287.269
43,Wisconsin,28188,854,2790353.602,35961308.96,7.759321567,2789499.602
44,Wyoming,4186345,126859,1618446.095,62582277.33,2.586109302,1491587.095
